english	italiano	freq	cat.gram
only, just	soltanto	1405	Avverbio
line, way, manner	verso	1418	Preposizione
it / he / she will be	sarà	1405	Verbo
point, toe	punto	1389	Sostantivo
on the (m.p)	sui	1399	Preposizione
new	nuovo	1428	Aggettivo
that (m.p)	quelli	1357	Pronome
been	stata	1378	Verbo ausiliare in Tempo composto di un verbo
other, else	altro	1344	Aggettivo
Roma	roma	1477	Nome proprio
all	tutte	1319	Aggettivo
to make	far	1311	Verbo
we have	abbiamo	1335	Verbo ausiliare in Tempo composto di un verbo
less	meno	1311	Avverbio
it / he / she seems	sembra	1312	Verbo
it / he / she would have	avrebbe	1395	Verbo ausiliare in Tempo composto di un verbo
immediately, at once	subito	1304	Avverbio
so, therefore	quindi	1331	Congiunzione
four	quattro	1291	Numerale
nobody, anyone	nessuno	1293	Pronome
you, to you	ti	1563	Pronome
of the (m.p)	agli	1250	Preposizione
case, chance	caso	1254	Sostantivo
too much	troppo	1240	Avverbio
them	li	1254	Pronome
things	cose	1250	Sostantivo
persons	persone	1276	Sostantivo
men	uomini	1269	Sostantivo
months	mesi	1289	Sostantivo
now, by this time, by now	ormai	1200	Avverbio
true	vero	1209	Aggettivo
no	no	1327	Avverbio
few, little, not much	pò	1210	Sostantivo in Avverbio
woman	donna	1285	Sostantivo
well	ben	1190	Avverbio
a little	un pò	1198	Avverbio
also / even /  if, although	anche se	1183	Congiunzione
now	adesso	1256	Avverbio
on the	sull'	1173	Preposizione
hours	ore	1177	Sostantivo
at least	almeno	1144	Avverbio
it / he has been	è stato	1176	Verbo
one hundred	cento	1241	Numerale
new, news	nuova	1159	Aggettivo
had	avuto	1150	Verbo in Tempo composto di un verbo
country	paese	1196	Sostantivo
thing	cosa	1163	Sostantivo
might be, both	sia	1128	Verbo
other	altra	1120	Aggettivo
large	grandi	1131	Aggettivo
father	padre	1254	Sostantivo
former	ex	1295	Aggettivo
to have	avere	1100	Verbo
that, this (demonstrative pronoun)	ciò	1153	Pronome
our	nostro	1110	Aggettivo
others	altre	1099	Aggettivo
this (f.p)	queste	1108	Aggettivo
best, better	meglio	1085	Avverbio
family	famiglia	1130	Sostantivo
they were	erano	1143	Verbo
evening	sera	1160	Sostantivo
neither	né	1129	Congiunzione
Milan	milano	1222	Nome proprio
often, frequently	spesso	1097	Avverbio
all	tutta	1052	Aggettivo
a little, a few	poco	1059	Avverbio
government	governo	1492	Sostantivo
some, any	alcuni	1050	Aggettivo
million	milioni	1131	Numerale
people	gente	1041	Sostantivo
same	stessa	1024	Aggettivo
something	qualcosa	1059	Pronome
they can	possono	1082	Verbo
with the (m.p)	col	1025	Preposizione
so	allora	1057	Congiunzione
possible	possibile	1002	Aggettivo
yes	sì	1105	Avverbio
ther are	ci sono	997	Verbo
night	notte	1039	Sostantivo
it / he / she goes	va	995	Verbo
society	società	1078	Sostantivo
it / he / she would be	sarebbe	1065	Verbo ausiliare in Tempo composto di un verbo
it / he / she comes	viene	1042	Verbo ausiliare in Tempo composto di un verbo
place, room, space	posto	990	Sostantivo
how much	quanto	965	Pronome
problem	problema	989	Sostantivo
a lot	tanto	988	Avverbio
to love	amore	1097	Sostantivo
women	donne	1020	Sostantivo
certain	certo	961	Avverbio
it / he / she could	potrebbe	969	Verbo
end, conclusion	fine	953	Sostantivo
hand	mano	982	Sostantivo
to see	vedere	944	Verbo
for, during	durante	953	Preposizione
five	cinque	924	Numerale
group	gruppo	971	Sostantivo
example	esempio	959	Sostantivo in Avverbio
therefore	dunque	947	Congiunzione
problems	problemi	938	Sostantivo
street	strada	932	Sostantivo
law	legge	1021	Sostantivo
our	nostra	916	Aggettivo
number	numero	926	Sostantivo
we are	siamo	925	Verbo
mother	madre	1018	Sostantivo
lire	lire	1053	Sostantivo
in front, ahead, opposite	davanti	921	Avverbio in Preposizione
nothing	nulla	910	Pronome
many	molti	891	Aggettivo
times	volte	888	Sostantivo
film	film	1215	Sostantivo
anyway, though, in any case	comunque	893	Avverbio
parole	parole	895	Sostantivo
been	stati	907	Verbo ausiliare in Tempo composto di un verbo
name	nome	884	Sostantivo
eyes	occhi	972	Sostantivo
water	acqua	945	Sostantivo
last, latest, final,	ultimo	855	Aggettivo
somone	qualcuno	897	Pronome
to go	andare	883	Verbo
it / he / she has said	ha detto	943	Verbo
it / he / she knows	sa	860	Verbo
they made	fanno	853	Verbo
centre, middle	centro	894	Sostantivo
to say	dare	839	Verbo
head	testa	896	Sostantivo
here, there	ecco	879	Avverbio
road, way, street	via	1090	Sostantivo in Nome proprio
wife	moglie	897	Sostantivo
namely, i.e.	cioè	861	Congiunzione
it / he / she was (remote)	fu	853	Verbo
it / he / she wants	vuole	840	Verbo
it / he / she has made	ha fatto	865	Verbo
hundred thousand	mila	1059	Numerale
boss, head	capo	882	Sostantivo
of the (m.p)	dagli	824	Preposizione
of	de	912	Nome proprio in Nome proprio
a little bit, very little	pochi	830	Aggettivo
war	guerra	875	Sostantivo
sense, feeling	senso	827	Sostantivo
earth, ground, territory	terra	889	Sostantivo
need	bisogno	810	Sostantivo
seen	visto	808	Verbo in Tempo composto di un verbo
system	sistema	947	Sostantivo
times	tempi	799	Sostantivo
just, barely	appena	786	Avverbio
before, until, previous	prima di	779	Preposizione
situation	situazione	797	Sostantivo
this (f.p)	quelle	778	Pronome
little, small	piccolo	780	Aggettivo
difficult	difficile	785	Aggettivo
floor, plan, plane, level	piano	789	Sostantivo
to the (m.s)	allo	752	Preposizione
one billion (one thousand million)	miliardi	1119	Numerale
death	morte	799	Sostantivo
last	scorso	867	Aggettivo
ten	dieci	752	Numerale
idea, plan	idea	758	Sostantivo
to speak	parlare	764	Verbo
field, camp	campo	783	Sostantivo
son	figlio	823	Sostantivo
saint	san	826	Sostantivo in Nome proprio
truly, indeed, really	davvero	760	Avverbio
until, up to, as far as	fino a	739	Preposizione
given	dato	747	Verbo in Tempo composto di un verbo
this	quest'	737	Aggettivo
children, babies	bambini	765	Sostantivo
grand	gran	743	Aggettivo
minister	ministro	978	Sostantivo
air	aria	763	Sostantivo
they had	avevano	791	Verbo ausiliare in Tempo composto di un verbo
need, matter, business	bisogna	726	Verbo
count, calculation	conto	719	Sostantivo
which (m.p)	quali	744	Pronome in Pronome
type, kind, sort	tipo	738	Sostantivo
advice	consiglio	852	Sostantivo
nothing, anything	niente	744	Pronome
last, latest	ultimi	714	Aggettivo
last, latest	ultima	700	Aggettivo
beyond, over	oltre	719	Preposizione
it / he / she said (remote)	disse	1040	Verbo
body	corpo	739	Sostantivo
six	sei	726	Numerale
children, kids, sons and daughters	figli	755	Sostantivo
important	importante	707	Aggettivo
voice	voce	757	Sostantivo
there was	c'era	752	Verbo
month	mese	708	Sostantivo
game, play, fun	gioco	706	Sostantivo
it / she has been	è stata	688	Verbo
it / he / she shows, explain	spiega	716	Verbo
series / serial	serie	708	Sostantivo
this (before a consonant followed by a vowel and before fptcvbdg)	quei	676	Aggettivo
in sum, in short	insomma	665	Avverbio
across, through	attraverso	685	Preposizione
strong, intensive, hard, loud	forte	659	Aggettivo
this	quell'	675	Aggettivo
or rather, or else	oppure	665	Congiunzione
freinds	amici	676	Sostantivo
some, any	alcune	659	Aggettivo
it / he / she should	dovrebbe	661	Verbo
school	scuola	676	Sostantivo
it / he / she speaks	parla	644	Verbo
new	nuove	643	Aggettivo
week	settimana	674	Sostantivo
minutes	minuti	718	Sostantivo
to find	trovare	632	Verbo
around, about, approximately	circa	707	Avverbio
husband	marito	706	Sostantivo
what	che cosa	669	Pronome
crises	crisi	694	Sostantivo
second	seconda	639	Aggettivo
together	insieme	641	Avverbio
there	lì	655	Avverbio
enough	basta	629	Verbo
person	persona	633	Sostantivo
first	primi	633	Aggettivo
had to	dovuto	637	Verbo in Tempo composto di un verbo
young	giovane	652	Aggettivo
success	successo	678	Sostantivo
it / he / she might be, were to be	fosse	635	Verbo
good	buona	609	Aggettivo
dircetor	direttore	685	Sostantivo
market	mercato	671	Sostantivo
you	tu	790	Pronome
past	passato	617	Sostantivo
for example	per esempio	629	Avverbio
activity	attività	653	Sostantivo
just, exact	propria	618	Aggettivo
politics, policy	politica	706	Sostantivo
beautiful, lovely	bella	632	Aggettivo
fear	paura	636	Sostantivo
force, strength	forza	597	Sostantivo
it / he / she trades, handles, deals with	tratta	606	Verbo
order	ordine	599	Sostantivo
to understand	capire	598	Verbo
put, placed	messo	595	Verbo in Tempo composto di un verbo
report	rapporto	631	Sostantivo
morning	mattina	628	Sostantivo
I know	so	657	Verbo
period, span	periodo	611	Sostantivo
programme	programma	649	Sostantivo
heart	cuore	630	Sostantivo
in the	nello	580	Preposizione
it / he / she could, was able to	poteva	628	Verbo
new	nuovi	604	Aggettivo
to put, to place	mettere	574	Verbo
book	libro	637	Sostantivo
been able to	potuto	583	Verbo in Tempo composto di un verbo
only, sole, single	unico	567	Aggettivo
possibility	possibilità	584	Sostantivo
hands	mani	600	Sostantivo
Europe	europa	645	Nome proprio
to know	sapere	578	Verbo
my (m.p)	miei	618	Aggettivo
boys and girls, guys	ragazzi	599	Sostantivo
lots	tanti	559	Aggettivo
decided	deciso	579	Verbo in Tempo composto di un verbo
part, role	ruolo	595	Sostantivo
service	servizio	577	Sostantivo
too, also, as well	pure	561	Avverbio
much, many, very	molte	556	Aggettivo
friend	amico	574	Sostantivo
thank you	grazie	558	Interiezione in Preposizione
light	luce	585	Sostantivo
front, façade	fronte	558	Sostantivo in Preposizione
to think	pensare	564	Verbo
sea	mare	585	Sostantivo
word	parola	553	Sostantivo
our (m.p)	nostri	550	Aggettivo
metres	metri	602	Sostantivo
meanwhile	intanto	569	Avverbio
easy	facile	556	Aggettivo
lastly, finally	infine	538	Avverbio
police	polizia	693	Sostantivo
to live	vivere	560	Verbo
it / he / she stood	stava	631	Verbo
can, to be able to	potere	562	Sostantivo
outside	fuori	553	Avverbio
age, era	età	542	Sostantivo
it / he / she stays, remains	resta	537	Verbo
countries, villages	paesi	625	Sostantivo
choice, option	scelta	544	Sostantivo
future	futuro	537	Sostantivo
half, middle	metà	526	Sostantivo
respect, compared	rispetto	599	Sostantivo in Preposizione
generak	generale	547	Aggettivo
found	trovato	527	Verbo in Tempo composto di un verbo
neither, nor, not even	nemmeno	537	Avverbio
even, "no, really"	addirittura	522	Avverbio
zone, region, area	zona	573	Sostantivo
parents	genitori	576	Sostantivo
early, soon	presto	520	Avverbio
repsonse, answer	risposta	517	Sostantivo
I / you / it / he / she might be able to	possa	513	Verbo
room, chamber	camera	559	Sostantivo
italian	italiana	597	Aggettivo
you all	vi	581	Pronome
they must	devono	529	Verbo
fire	fuoco	559	Sostantivo
half, middle	mezzo	533	Aggettivo
I believe	credo	568	Verbo
public	pubblico	579	Sostantivo
good	buon	507	Aggettivo
to take	prendere	513	Verbo
alone, lone	sola	514	Aggettivo
feet	piedi	539	Sostantivo
they stand	stanno	515	Verbo
machine, car	macchina	516	Sostantivo
however, nevertheless	tuttavia	525	Congiunzione
shape form	forma	519	Sostantivo
conditions	condizioni	516	Sostantivo
summer	estate	520	Sostantivo
old	vecchio	499	Aggettivo
space	spazio	525	Sostantivo
one, oneself	s'	566	Pronome
long	lungo	486	Aggettivo
taken	preso	499	Verbo in Tempo composto di un verbo
only, sole 	unica	498	Aggettivo
place	luogo	507	Sostantivo
girl	ragazza	563	Sostantivo
truth	verità	519	Sostantivo
door, gate, gateway	porta	549	Sostantivo
reason	ragione	505	Sostantivo
attention	attenzione	484	Sostantivo
it / he / she finds	trova	487	Verbo
rather, on the contrary, quite the opposite	anzi	524	Congiunzione
asked	chiesto	510	Verbo in Tempo composto di un verbo
besided, moreover, further, furthermore, in addition	inoltre	489	Avverbio
forward(s), ahead	avanti	481	Avverbio
true, real	vera	474	Aggettivo
cases	casi	499	Sostantivo
seven	sette	484	Numerale
afternoon	pomeriggio	513	Sostantivo
money, coins	soldi	513	Sostantivo
encounter, meeting, reunion	incontro	491	Sostantivo
it / he / she had to	doveva	513	Verbo
day	giornata	479	Sostantivo
nature	natura	520	Sostantivo
team	squadra	766	Sostantivo
different, various	diversi	481	Aggettivo
it / he / she arrives, gets to	arriva	477	Verbo
it / he / she appears, seems, looks	pare	470	Verbo
blow, hit, strike	colpo	469	Sostantivo
line	linea	487	Sostantivo
naturally, "of course!"	naturalmente	465	Avverbio
different, various	diverse	479	Aggettivo
small, little	piccola	467	Aggettivo
simple, straightforward	semplice	456	Aggettivo
italian	italiano	521	Aggettivo
despite, in spite of, notwithstanding	nonostante	466	Preposizione
art	arte	552	Sostantivo
diffiulty	difficoltà	460	Sostantivo
image, picture, illustration	immagine	485	Sostantivo
they go	vengono	496	Verbo ausiliare in Tempo composto di un verbo
boy	ragazzo	500	Sostantivo
young	giovani	478	Sostantivo
music	musica	525	Sostantivo
woman, mrs.	signora	533	Sostantivo
you, to you	te	585	Pronome
it / he / she will be able to	potrà	462	Verbo
they say	dicono	459	Verbo
it / he / she continue, carry on	continua	466	Verbo
left	sinistra	520	Sostantivo
matter, issue;	questione	463	Sostantivo
I was	ero	509	Verbo
many, a lot	tante	452	Aggettivo
research	ricerca	494	Sostantivo
finally, "at last!"	finalmente	458	Avverbio
Turin	torino	553	Nome proprio
study	studio	458	Sostantivo
baby	bambino	514	Sostantivo
been (f.p) 	state	461	Verbo ausiliare in Tempo composto di un verbo
I can	posso	491	Verbo
reality	realtà	475	Sostantivo
end, bottom, back	fondo	446	Sostantivo
(and) yet, still, but	eppure	436	Congiunzione
more, once more	di più	446	Avverbio
mayor	sindaco	648	Sostantivo
long	lunga	440	Aggettivo
as if	come se	477	Congiunzione
it / he / she wanted	voleva	476	Verbo
cinema	cinema	609	Sostantivo
little, small	piccoli	451	Aggettivo
around, round	intorno	440	Avverbio in Preposizione
such	tale	477	Aggettivo
I want	voglio	522	Verbo
party, match	partito	644	Sostantivo
sun	sole	469	Sostantivo
same	stessi	438	Aggettivo
oneself	sé	447	Pronome
car	auto *	604	Sostantivo
experience	esperienza	468	Sostantivo
presence	presenza	435	Sostantivo
countryside	campagna	448	Sostantivo
blood	sangue	473	Sostantivo
wanted	voluto	441	Verbo in Tempo composto di un verbo
to get to, to arrive	arrivare	430	Verbo
result, score	risultato	453	Sostantivo
view	vista	428	Sostantivo
culture	cultura	508	Sostantivo
project, plan	progetto	456	Sostantivo
neither, nor, not even	neppure	431	Avverbio
points, toes	punti	476	Sostantivo
Sunday	domenica	489	Sostantivo
greater, bigger	maggiore	439	Aggettivo
behind	dietro	441	Preposizione
office	ufficio	473	Sostantivo
daughter	figlia	489	Sostantivo
to become	diventare	432	Verbo
control, command, check	controllo	434	Sostantivo
title	titolo	467	Sostantivo
few, not many (f.p)	poche	420	Aggettivo
beginning, start	inizio	433	Sostantivo
it / he / she tells	racconta	469	Verbo
avoid	evitare	444	Verbo
species, strain, kind, sort	specie	473	Sostantivo
risk, hazard	rischio	445	Sostantivo
card	carta	425	Sostantivo
greater, bigger	maggior	426	Aggettivo
next	prossimo	449	Aggettivo
can, to be able to 	poter	427	Verbo
reports	rapporti	445	Sostantivo
I / you / it / he / she might have	abbia	442	Verbo ausiliare in Tempo composto di un verbo
nobody, anybody	nessun	419	Aggettivo
national	nazionale	470	Aggettivo
process	processo	458	Sostantivo
position	posizione	442	Sostantivo
it / he / she will have to	dovrà	427	Verbo
whatever, whichever	qualsiasi	428	Aggettivo
degree	grado	443	Sostantivo in Aggettivo
able	in grado	442	Aggettivo
results	risultati	449	Sostantivo
proof	prova	412	Sostantivo
capital	capitale	451	Sostantivo
it / he / she gives	dà	412	Verbo
occasion	occasione	421	Sostantivo
it / he / she made	faceva	444	Verbo
high, tall	alta	423	Aggettivo
stage, scene	scena	500	Sostantivo
it / he / she concerns, applies to	riguarda	424	Verbo
bed	letto	460	Sostantivo
even	persino	409	Avverbio
instead, rather, fairly	piuttosto	408	Avverbio
season	stagione	509	Sostantivo
international	internazionale	448	Aggettivo
high, tall	alto	412	Aggettivo
plolitical	politico	501	Aggettivo
journey	viaggio	411	Sostantivo
social	sociale	463	Aggettivo
intervention	intervento	437	Sostantivo
safety, security	sicurezza	463	Sostantivo
Carlo	carlo	473	Nome proprio
right, eligibility	diritto	444	Sostantivo
it / he / she becomes	diventa	411	Verbo
maybe	magari	420	Avverbio
nobody, anybody	nessuna	393	Aggettivo
french	francese	441	Aggettivo
likely, probably	probabilmente	403	Avverbio
action	azione	410	Sostantivo
September	settembre	434	Sostantivo
at the end of	alla fine	407	Avverbio
June	giugno	438	Sostantivo
value	valore	412	Sostantivo
<TEXT>	parigi	415	Nome proprio
quality	qualità	414	Sostantivo
it / he / she seemed	sembrava	429	Verbo
act, deed	atto	405	Sostantivo
eight	otto	392	Numerale
environment, background	ambiente	426	Sostantivo
dropped, left, let go of	lasciato	397	Verbo in Tempo composto di un verbo
majority	maggioranza	533	Sostantivo
guess	ipotesi	434	Sostantivo
decision	decisione	406	Sostantivo
step, pace, passage	passo	387	Sostantivo
brought	portato	387	Verbo in Tempo composto di un verbo
july	luglio	425	Sostantivo
printing, print	stampa	420	Sostantivo
liberty	libertà	393	Sostantivo
mummy	mamma	424	Sostantivo
he	egli	484	Pronome
gender, kind, type	genere	387	Sostantivo
I had	avevo	436	Verbo ausiliare in Tempo composto di un verbo
August	agosto	428	Sostantivo
it / he / she sees	vede	381	Verbo
common, council	comune	378	Aggettivo
forces	forze	430	Sostantivo
<TEXT>	uniti	423	Aggettivo in Nome proprio
I use	uso	404	Sostantivo
it / he / she has had	ha avuto	388	Verbo
play, show	spettacolo	439	Sostantivo
mark, sign	segno	368	Sostantivo
to lose	perdere	384	Verbo
you all	voi	447	Pronome
actually, in reality	in realtà	376	Avverbio
until the	fino al	382	Preposizione
turn, spin, ride	giro	429	Sostantivo
to go past	passare	372	Verbo
church	chiesa	434	Sostantivo
to might want (singular)	voglia	385	Sostantivo
within, inside, by	entro	387	Preposizione
public	pubblica	432	Aggettivo
France	francia	416	Nome proprio
interest	interesse	403	Sostantivo
work	opera	422	Sostantivo
it / he / she means	significa	376	Verbo
making	facendo	369	Verbo
letter	lettera	381	Sostantivo
gold	oro	388	Sostantivo
spoken	parlato	389	Verbo in Tempo composto di un verbo
luck, fortune	fortuna	382	Sostantivo
clear	chiaro	362	Aggettivo
rest, remainder	resto	363	Sostantivo
nearby, by, next	accanto	386	Avverbio in Preposizione
level	livello	425	Sostantivo
shoulders	spalle	396	Sostantivo
it / he / she exists	esiste	381	Verbo
skin	pelle	398	Sostantivo
mind	mente	382	Sostantivo
it / he / she made (remote)	fece	448	Verbo
secretary	segretario	557	Sostantivo
full	pieno	360	Aggettivo
holiday, party	festa	381	Sostantivo
<TEXT>	stati uniti	409	Nome proprio
again, anew, afresh	di nuovo	401	Avverbio
<TEXT>	piazza	438	Sostantivo in Nome proprio
third	terzo	383	Aggettivo
who, that (relative pronoun)	il quale	369	Pronome
to enter	entrare	363	Verbo
before, back, previous	prime	364	Aggettivo
fair, right	giusto	372	Aggettivo
<TEXT>	paolo	401	Nome proprio
tomorrow	domani	385	Avverbio
agreement, deal	accordo	419	Sostantivo
to bring	portare	356	Verbo
century	secolo	393	Sostantivo
they might be	siano	350	Verbo
different, various	diverso	350	Aggettivo
dream	sogno	377	Sostantivo
to return, to go back	tornare	354	Verbo
solution	soluzione	378	Sostantivo
course, class	corso	358	Sostantivo
pair, couple	paio	358	Sostantivo
Saturday	sabato	381	Sostantivo
lovely	bel	361	Aggettivo
return, comeback	ritorno	353	Sostantivo
marriage, wedding	matrimonio	429	Sostantivo
peace	pace	401	Sostantivo
parts	parti	362	Sostantivo
evil, ill	male	366	Sostantivo
violence	violenza	378	Sostantivo
brief, short	breve	347	Aggettivo
better	migliore	349	Aggettivo
kilometres	chilometri	379	Sostantivo
to work	lavorare	359	Verbo
government, ministry	ministero	423	Sostantivo
old	vecchia	338	Aggettivo
commision, board, committee	commissione	418	Sostantivo
from the (m.s)	dallo	341	Preposizione
hospital	ospedale	409	Sostantivo
defence	difesa	418	Sostantivo
ready, prompt	pronto	347	Aggettivo
it / he / she remembers	ricorda	352	Verbo
one thousand	mille	345	Numerale
on the (m.p)	sugli	348	Preposizione
hope, prospect	speranza	351	Sostantivo
weeks	settimane	358	Sostantivo
commitment	impegno	359	Sostantivo
it / he / she manages, succeeds	riesce	347	Verbo
operation	operazione	378	Sostantivo
run, running	corsa	384	Sostantivo
young	giovanni	425	Nome proprio
your (f.s)	tua	413	Aggettivo
quite, enough	abbastanza	348	Avverbio
your (m.s)	tuo	422	Aggettivo
started	cominciato	349	Verbo in Tempo composto di un verbo
it / he / she calls	chiama	335	Verbo
question, application	domanda	340	Sostantivo
newspaper	giornali	346	Sostantivo
<TEXT>	america	361	Nome proprio
parties	partiti	529	Sostantivo
it / he / she pleases, is pleasing	piace	358	Verbo
it / he / she thinks	pensa	333	Verbo
<TEXT>	new	364	Aggettivo in Nome proprio
television	tv *	452	Sostantivo
January	gennaio	383	Sostantivo
theatre	teatro	442	Sostantivo
foundation, base	base	355	Sostantivo in Preposizione
important	importanti	329	Aggettivo
even (including)	perfino	328	Avverbio
full	piena	334	Aggettivo
<TEXT>	berlusconi	526	Nome proprio
effect	effetto	333	Sostantivo
it / he / she asks	chiede	356	Verbo
to make oneself	farsi	334	Verbo
right	destra	360	Sostantivo
capacity	capacità	345	Sostantivo
hair	capelli	383	Sostantivo
completely, totally, altogether	completamente	330	Avverbio
to make it / him	farlo	330	Verbo
to search	cercare	322	Verbo
sector, seats, field	settore	367	Sostantivo
May	maggio	355	Sostantivo
written	scritto	334	Verbo in Tempo composto di un verbo
houses, buildings	case	338	Sostantivo
reason, cause	motivo	323	Sostantivo
my (m.p)	mie	357	Aggettivo
you work	lavori	332	Sostantivo
confidence, trust, belief, faith	fiducia	346	Sostantivo
palace, apartment block	palazzo	350	Sostantivo
not even	neanche	344	Avverbio
parliament	parlamento	471	Sostantivo
