italiano	freq	Cat.Gram	english
comunque	893	Avverbio	anyway, though, in any case
parole	895	Sostantivo	words
stati	907	Verbo ausiliare in Tempo composto di un verbo	been
nome	884	Sostantivo	name
occhi	972	Sostantivo	eyes
acqua	945	Sostantivo	water
ultimo	855	Aggettivo	last, latest, final,
qualcuno	897	Pronome	somone
andare	883	Verbo	to go
ha detto	943	Verbo	it / he / she has said
sa	860	Verbo	it / he / she knows
fanno	853	Verbo	they made
centro	894	Sostantivo	centre, middle
dare	839	Verbo	to say
testa	896	Sostantivo	head
ecco	879	Avverbio	here, there
moglie	897	Sostantivo	wife
cioè	861	Congiunzione	namely, i.e.
fu	853	Verbo	it / he / she was (remote)
vuole	840	Verbo	it / he / she wants
ha fatto	865	Verbo	it / he / she has made
mila	1059	Numerale	thousand
capo	882	Sostantivo	boss, head
dagli	824	Preposizione	of the (m.p)
guerra	875	Sostantivo	war
pochi	830	Aggettivo	a little bit, very little
senso	827	Sostantivo	sense, feeling
terra	889	Sostantivo	earth, ground, territory
bisogno	810	Sostantivo	need
visto	808	Verbo in Tempo composto di un verbo	seen
sistema	947	Sostantivo	system
tempi	799	Sostantivo	times
appena	786	Avverbio	just, barely
prima di	779	Preposizione	before, until, previous
situazione	797	Sostantivo	situation
quelle	778	Pronome	this (f.p)
piccolo	780	Aggettivo	little, small
difficile	785	Aggettivo	difficult
piano	789	Sostantivo	floor, plan, plane, level
allo	752	Preposizione	to the (m.s)
miliardi	1119	Numerale	one billion (one thousand million)
morte	799	Sostantivo	death
scorso	867	Aggettivo	last
dieci	752	Numerale	ten
idea	758	Sostantivo	idea, plan
parlare	764	Verbo	to speak
campo	783	Sostantivo	field, camp
figlio	823	Sostantivo	son
davvero	760	Avverbio	truly, indeed, really
fino a	739	Preposizione	until, up to, as far as
dato	747	Verbo in Tempo composto di un verbo	given
quest'	737	Aggettivo	this
bambini	765	Sostantivo	children, babies
gran	743	Aggettivo	grand
ministro	978	Sostantivo	minister
aria	763	Sostantivo	air
avevano	791	Verbo ausiliare in Tempo composto di un verbo	they had
bisogna	726	Verbo	need, matter, business
conto	719	Sostantivo	count, calculation
quali	744	Pronome in Pronome	which (m.p)
tipo	738	Sostantivo	type, kind, sort
consiglio	852	Sostantivo	advice
niente	744	Pronome	nothing, anything
ultimi	714	Aggettivo	last, latest
ultima	700	Aggettivo	last, latest
oltre	719	Preposizione	beyond, over
disse	1040	Verbo	it / he / she said (remote)
corpo	739	Sostantivo	body
sei	726	Numerale	six
figli	755	Sostantivo	children, kids, sons and daughters
importante	707	Aggettivo	important
voce	757	Sostantivo	voice
c'era	752	Verbo	there was
mese	708	Sostantivo	month
gioco	706	Sostantivo	game, play, fun
è stata	688	Verbo	it / she has been
spiega	716	Verbo	it / he / she shows, explain
serie	708	Sostantivo	series / serial
quei	676	Aggettivo	this (before a consonant followed by a vowel and before fptcvbdg)
insomma	665	Avverbio	in sum, in short
attraverso	685	Preposizione	across, through
forte	659	Aggettivo	strong, intensive, hard, loud
quell'	675	Aggettivo	this
oppure	665	Congiunzione	or rather, or else
amici	676	Sostantivo	freinds
alcune	659	Aggettivo	some, any
dovrebbe	661	Verbo	it / he / she should
scuola	676	Sostantivo	school
parla	644	Verbo	it / he / she speaks
nuove	643	Aggettivo	new
settimana	674	Sostantivo	week
minuti	718	Sostantivo	minutes
trovare	632	Verbo	to find
circa	707	Avverbio	around, about, approximately
marito	706	Sostantivo	husband
che cosa	669	Pronome	what
crisi	694	Sostantivo	crises
seconda	639	Aggettivo	second
insieme	641	Avverbio	together
lì	655	Avverbio	there
basta	629	Verbo	enough
persona	633	Sostantivo	person
primi	633	Aggettivo	first
dovuto	637	Verbo in Tempo composto di un verbo	had to
giovane	652	Aggettivo	young
successo	678	Sostantivo	success
fosse	635	Verbo	it / he / she might be, were to be
buona	609	Aggettivo	good
direttore	685	Sostantivo	dircetor
mercato	671	Sostantivo	market
tu	790	Pronome	you
passato	617	Sostantivo	past
per esempio	629	Avverbio	for example
attività	653	Sostantivo	activity
propria	618	Aggettivo	just, exact
politica	706	Sostantivo	politics, policy
bella	632	Aggettivo	beautiful, lovely
paura	636	Sostantivo	fear
forza	597	Sostantivo	force, strength
tratta	606	Verbo	it / he / she trades, handles, deals with
ordine	599	Sostantivo	order
capire	598	Verbo	to understand
messo	595	Verbo in Tempo composto di un verbo	put, placed
rapporto	631	Sostantivo	report
mattina	628	Sostantivo	morning
so	657	Verbo	I know
periodo	611	Sostantivo	period, span
programma	649	Sostantivo	programme
cuore	630	Sostantivo	heart
nello	580	Preposizione	in the
poteva	628	Verbo	it / he / she could, was able to
nuovi	604	Aggettivo	new
mettere	574	Verbo	to put, to place
libro	637	Sostantivo	book
potuto	583	Verbo in Tempo composto di un verbo	been able to
unico	567	Aggettivo	only, sole, single
possibilità	584	Sostantivo	possibility
mani	600	Sostantivo	hands
sapere	578	Verbo	to know
miei	618	Aggettivo	my (m.p)
ragazzi	599	Sostantivo	boys and girls, guys
tanti	559	Aggettivo	lots
deciso	579	Verbo in Tempo composto di un verbo	decided
ruolo	595	Sostantivo	part, role
servizio	577	Sostantivo	service
pure	561	Avverbio	too, also, as well
molte	556	Aggettivo	much, many, very
amico	574	Sostantivo	friend
grazie	558	Interiezione in Preposizione	thank you
luce	585	Sostantivo	light
fronte	558	Sostantivo in Preposizione	front, façade
pensare	564	Verbo	to think
mare	585	Sostantivo	sea
parola	553	Sostantivo	word
nostri	550	Aggettivo	our (m.p)
metri	602	Sostantivo	metres
intanto	569	Avverbio	meanwhile
facile	556	Aggettivo	easy
infine	538	Avverbio	lastly, finally
polizia	693	Sostantivo	police
vivere	560	Verbo	to live
stava	631	Verbo	it / he / she stood
potere	562	Sostantivo	can, to be able to
fuori	553	Avverbio	outside
età	542	Sostantivo	age, era
resta	537	Verbo	it / he / she stays, remains
paesi	625	Sostantivo	countries, villages
via	547	Avverbio	road, way, street
scelta	544	Sostantivo	choice, option
futuro	537	Sostantivo	future
metà	526	Sostantivo	half, middle
rispetto	599	Sostantivo in Preposizione	respect, compared
generale	547	Aggettivo	generak
trovato	527	Verbo in Tempo composto di un verbo	found
nemmeno	537	Avverbio	neither, nor, not even
addirittura	522	Avverbio	"even, ""no, really"""
zona	573	Sostantivo	zone, region, area
genitori	576	Sostantivo	parents
presto	520	Avverbio	early, soon
risposta	517	Sostantivo	repsonse, answer
possa	513	Verbo	I / you / it / he / she might be able to
camera	559	Sostantivo	room, chamber
italiana	597	Aggettivo	italian
vi	581	Pronome	you all
devono	529	Verbo	they must
fuoco	559	Sostantivo	fire
mezzo	533	Aggettivo	half, middle
credo	568	Verbo	I believe
pubblico	579	Sostantivo	public
buon	507	Aggettivo	good
prendere	513	Verbo	to take
sola	514	Aggettivo	alone, lone
piedi	539	Sostantivo	feet
stanno	515	Verbo	they stand
macchina	516	Sostantivo	machine, car
tuttavia	525	Congiunzione	however, nevertheless
forma	519	Sostantivo	shape form
condizioni	516	Sostantivo	conditions
estate	520	Sostantivo	summer
vecchio	499	Aggettivo	old
spazio	525	Sostantivo	space
s'	566	Pronome	one, oneself
lungo	486	Aggettivo	long
preso	499	Verbo in Tempo composto di un verbo	taken
unica	498	Aggettivo	only, sole 
luogo	507	Sostantivo	place
ragazza	563	Sostantivo	girl
verità	519	Sostantivo	truth
porta	549	Sostantivo	door, gate, gateway
ragione	505	Sostantivo	reason
attenzione	484	Sostantivo	attention
trova	487	Verbo	it / he / she finds
anzi	524	Congiunzione	rather, on the contrary, quite the opposite
chiesto	510	Verbo in Tempo composto di un verbo	asked
inoltre	489	Avverbio	besided, moreover, further, furthermore, in addition
avanti	481	Avverbio	forward(s), ahead
vera	474	Aggettivo	true, real
casi	499	Sostantivo	cases
sette	484	Numerale	seven
pomeriggio	513	Sostantivo	afternoon
soldi	513	Sostantivo	money, coins
incontro	491	Sostantivo	encounter, meeting, reunion
doveva	513	Verbo	it / he / she had to
giornata	479	Sostantivo	day
natura	520	Sostantivo	nature
squadra	766	Sostantivo	team
diversi	481	Aggettivo	different, various
arriva	477	Verbo	it / he / she arrives, gets to
pare	470	Verbo	it / he / she appears, seems, looks
colpo	469	Sostantivo	blow, hit, strike
linea	487	Sostantivo	line
naturalmente	465	Avverbio	"naturally, ""of course!"""
diverse	479	Aggettivo	different, various
piccola	467	Aggettivo	small, little
semplice	456	Aggettivo	simple, straightforward
italiano	521	Aggettivo	italian
nonostante	466	Preposizione	despite, in spite of, notwithstanding
arte	552	Sostantivo	art
difficoltà	460	Sostantivo	diffiulty
immagine	485	Sostantivo	image, picture, illustration
vengono	496	Verbo ausiliare in Tempo composto di un verbo	they go
ragazzo	500	Sostantivo	boy
giovani	478	Sostantivo	young
musica	525	Sostantivo	music
signora	533	Sostantivo	woman, mrs.
te	585	Pronome	you, to you
potrà	462	Verbo	it / he / she will be able to
dicono	459	Verbo	they say
continua	466	Verbo	it / he / she continue, carry on
sinistra	520	Sostantivo	left
questione	463	Sostantivo	matter, issue;
ero	509	Verbo	I was
tante	452	Aggettivo	many, a lot
ricerca	494	Sostantivo	research
finalmente	458	Avverbio	"finally, ""at last!"""
studio	458	Sostantivo	study
bambino	514	Sostantivo	baby
state	461	Verbo ausiliare in Tempo composto di un verbo	been (f.p) 
posso	491	Verbo	I can
realtà	475	Sostantivo	reality
fondo	446	Sostantivo	end, bottom, back
eppure	436	Congiunzione	(and) yet, still, but
di più	446	Avverbio	more, once more
sindaco	648	Sostantivo	mayor
lunga	440	Aggettivo	long
come se	477	Congiunzione	as if
voleva	476	Verbo	it / he / she wanted
cinema	609	Sostantivo	cinema
piccoli	451	Aggettivo	little, small
intorno	440	Avverbio in Preposizione	around, round
tale	477	Aggettivo	such
voglio	522	Verbo	I want
partito	644	Sostantivo	party, match
sole	469	Sostantivo	sun
stessi	438	Aggettivo	same
sé	447	Pronome	oneself
auto *	604	Sostantivo	car
esperienza	468	Sostantivo	experience
presenza	435	Sostantivo	presence
campagna	448	Sostantivo	countryside
sangue	473	Sostantivo	blood
voluto	441	Verbo in Tempo composto di un verbo	wanted
arrivare	430	Verbo	to get to, to arrive
risultato	453	Sostantivo	result, score
vista	428	Sostantivo	view
cultura	508	Sostantivo	culture
progetto	456	Sostantivo	project, plan
neppure	431	Avverbio	neither, nor, not even
punti	476	Sostantivo	points, toes
domenica	489	Sostantivo	Sunday
maggiore	439	Aggettivo	greater, bigger
dietro	441	Preposizione	behind
ufficio	473	Sostantivo	office
figlia	489	Sostantivo	daughter
diventare	432	Verbo	to become
controllo	434	Sostantivo	control, command, check
titolo	467	Sostantivo	title
poche	420	Aggettivo	few, not many (f.p)
inizio	433	Sostantivo	beginning, start
racconta	469	Verbo	it / he / she tells
evitare	444	Verbo	avoid
specie	473	Sostantivo	species, strain, kind, sort
rischio	445	Sostantivo	risk, hazard
carta	425	Sostantivo	card
prossimo	449	Aggettivo	next
rapporti	445	Sostantivo	reports
abbia	442	Verbo ausiliare in Tempo composto di un verbo	I / you / it / he / she might have
nessun	419	Aggettivo	nobody, anybody
nazionale	470	Aggettivo	national
processo	458	Sostantivo	process
posizione	442	Sostantivo	position
dovrà	427	Verbo	it / he / she will have to
qualsiasi	428	Aggettivo	whatever, whichever
grado	443	Sostantivo in Aggettivo	degree
in grado	442	Aggettivo	able
risultati	449	Sostantivo	results
prova	412	Sostantivo	proof
capitale	451	Sostantivo	capital
dà	412	Verbo	it / he / she gives
occasione	421	Sostantivo	occasion
faceva	444	Verbo	it / he / she made
alta	423	Aggettivo	high, tall
scena	500	Sostantivo	stage, scene
riguarda	424	Verbo	it / he / she concerns, applies to
letto	460	Sostantivo	bed
persino	409	Avverbio	even
piuttosto	408	Avverbio	instead, rather, fairly
stagione	509	Sostantivo	season
internazionale	448	Aggettivo	international
alto	412	Aggettivo	high, tall
politico	501	Aggettivo	plolitical
viaggio	411	Sostantivo	journey
sociale	463	Aggettivo	social
intervento	437	Sostantivo	intervention
sicurezza	463	Sostantivo	safety, security
diritto	444	Sostantivo	right, eligibility
diventa	411	Verbo	it / he / she becomes
magari	420	Avverbio	maybe
nessuna	393	Aggettivo	nobody, anybody
francese	441	Aggettivo	french
probabilmente	403	Avverbio	likely, probably
azione	410	Sostantivo	action
settembre	434	Sostantivo	September
alla fine	407	Avverbio	at the end of
giugno	438	Sostantivo	June
valore	412	Sostantivo	value
qualità	414	Sostantivo	quality
sembrava	429	Verbo	it / he / she seemed
atto	405	Sostantivo	act, deed
otto	392	Numerale	eight
ambiente	426	Sostantivo	environment, background
lasciato	397	Verbo in Tempo composto di un verbo	dropped, left, let go of
maggioranza	533	Sostantivo	majority
ipotesi	434	Sostantivo	guess
decisione	406	Sostantivo	decision
passo	387	Sostantivo	step, pace, passage
portato	387	Verbo in Tempo composto di un verbo	brought
luglio	425	Sostantivo	july
stampa	420	Sostantivo	printing, print
libertà	393	Sostantivo	liberty
mamma	424	Sostantivo	mummy
egli	484	Pronome	he
genere	387	Sostantivo	gender, kind, type
avevo	436	Verbo ausiliare in Tempo composto di un verbo	I had
agosto	428	Sostantivo	August
vede	381	Verbo	it / he / she sees
comune	378	Aggettivo	common, council
forze	430	Sostantivo	forces
uso	404	Sostantivo	I use
ha avuto	388	Verbo	it / he / she has had
spettacolo	439	Sostantivo	play, show
segno	368	Sostantivo	mark, sign
perdere	384	Verbo	to lose
voi	447	Pronome	you all
in realtà	376	Avverbio	actually, in reality
fino al	382	Preposizione	until the
giro	429	Sostantivo	turn, spin, ride
passare	372	Verbo	to go past
chiesa	434	Sostantivo	church
voglia	385	Sostantivo	to might want (singular)
entro	387	Preposizione	within, inside, by
pubblica	432	Aggettivo	public
interesse	403	Sostantivo	interest
significa	376	Verbo	it / he / she means
opera	422	Sostantivo	work
facendo	369	Verbo	making
lettera	381	Sostantivo	letter
oro	388	Sostantivo	gold
parlato	389	Verbo in Tempo composto di un verbo	spoken
fortuna	382	Sostantivo	luck, fortune
chiaro	362	Aggettivo	clear
resto	363	Sostantivo	rest, remainder
accanto	386	Avverbio in Preposizione	nearby, by, next
livello	425	Sostantivo	level
spalle	396	Sostantivo	shoulders
esiste	381	Verbo	it / he / she exists
pelle	398	Sostantivo	skin
mente	382	Sostantivo	mind
fece	448	Verbo	it / he / she made (remote)
segretario	557	Sostantivo	secretary
pieno	360	Aggettivo	full
festa	381	Sostantivo	holiday, party
di nuovo	401	Avverbio	again, anew, afresh
terzo	383	Aggettivo	third
il quale	369	Pronome	who, that (relative pronoun)
entrare	363	Verbo	to enter
prime	364	Aggettivo	before, back, previous
giusto	372	Aggettivo	fair, right
domani	385	Avverbio	tomorrow
accordo	419	Sostantivo	agreement, deal
portare	356	Verbo	to bring
secolo	393	Sostantivo	century
siano	350	Verbo	they might be
diverso	350	Aggettivo	different, various
sogno	377	Sostantivo	dream
tornare	354	Verbo	to return, to go back
soluzione	378	Sostantivo	solution
corso	358	Sostantivo	course, class
paio	358	Sostantivo	pair, couple
sabato	381	Sostantivo	Saturday
bel	361	Aggettivo	lovely
ritorno	353	Sostantivo	return, comeback
matrimonio	429	Sostantivo	marriage, wedding
pace	401	Sostantivo	peace
parti	362	Sostantivo	parts
male	366	Sostantivo	evil, ill
violenza	378	Sostantivo	violence
breve	347	Aggettivo	brief, short
migliore	349	Aggettivo	better
chilometri	379	Sostantivo	kilometres
lavorare	359	Verbo	to work
ministero	423	Sostantivo	government, ministry
vecchia	338	Aggettivo	old
commissione	418	Sostantivo	commision, board, committee
dallo	341	Preposizione	from the (m.s)
ospedale	409	Sostantivo	hospital
difesa	418	Sostantivo	defence
pronto	347	Aggettivo	ready, prompt
ricorda	352	Verbo	it / he / she remembers
mille	345	Numerale	one thousand
sugli	348	Preposizione	on the (m.p)
speranza	351	Sostantivo	hope, prospect
settimane	358	Sostantivo	weeks
impegno	359	Sostantivo	commitment
riesce	347	Verbo	it / he / she manages, succeeds
operazione	378	Sostantivo	operation
corsa	384	Sostantivo	run, running
tua	413	Aggettivo	your (f.s)
abbastanza	348	Avverbio	quite, enough
tuo	422	Aggettivo	your (m.s)
cominciato	349	Verbo in Tempo composto di un verbo	started
chiama	335	Verbo	it / he / she calls
domanda	340	Sostantivo	question, application
giornali	346	Sostantivo	newspaper
partiti	529	Sostantivo	parties
piace	358	Verbo	it / he / she pleases, is pleasing
pensa	333	Verbo	it / he / she thinks
tv *	452	Sostantivo	television
gennaio	383	Sostantivo	January
teatro	442	Sostantivo	theatre
base	355	Sostantivo in Preposizione	foundation, base
importanti	329	Aggettivo	important
perfino	328	Avverbio	even (including)
piena	334	Aggettivo	full
effetto	333	Sostantivo	effect
chiede	356	Verbo	it / he / she asks
farsi	334	Verbo	to make oneself
destra	360	Sostantivo	right
capacità	345	Sostantivo	capacity
capelli	383	Sostantivo	hair
completamente	330	Avverbio	completely, totally, altogether
farlo	330	Verbo	to make it / him
cercare	322	Verbo	to search
settore	367	Sostantivo	sector, seats, field
maggio	355	Sostantivo	May
scritto	334	Verbo in Tempo composto di un verbo	written
case	338	Sostantivo	houses, buildings
motivo	323	Sostantivo	reason, cause
mie	357	Aggettivo	my (m.p)
lavori	332	Sostantivo	you work
fiducia	346	Sostantivo	confidence, trust, belief, faith
palazzo	350	Sostantivo	palace, apartment block
neanche	344	Avverbio	not even
parlamento	471	Sostantivo	parliament
giustizia	379	Sostantivo	justice, fairness
coppia	354	Sostantivo	couple
fratello	342	Sostantivo	brother
servizi	358	Sostantivo	services
certa	324	Aggettivo	certain
vicenda	354	Sostantivo	affair, event
vogliono	321	Verbo	the want
lascia	324	Verbo	it / he / she left, let go
necessario	331	Aggettivo	necessary
certi	339	Aggettivo	certain
silenzio	348	Sostantivo	silence
certamente	322	Avverbio	certainly
italiani	370	Sostantivo	italians
confronti	326	Sostantivo in Preposizione	comparisons, contests, matches
occhio	322	Sostantivo	eye
penso	330	Verbo	I think
libri	357	Sostantivo	books
prezzo	338	Sostantivo	price
strade	331	Sostantivo	streets
in particolare	327	Avverbio	in particular
moda	404	Sostantivo	fashion, trend
epoca	326	Sostantivo	epoch, time
dobbiamo	309	Verbo	we must
stanza	348	Sostantivo	room
poiché	348	Congiunzione	as, since, forasmuch as 
peso	318	Sostantivo	weight
