italiano	freq	Cat.Gram	english
strada	932	Sostantivo	street
numero	926	Sostantivo	number
siamo	925	Verbo	we are
cinque	924	Numerale	five
davanti	921	Avverbio in Preposizione	in front, ahead, opposite
nostra	916	Aggettivo	our
nulla	910	Pronome	nothing
stati	907	Verbo ausiliare in Tempo composto di un verbo	been
moglie	897	Sostantivo	wife
qualcuno	897	Pronome	somone
testa	896	Sostantivo	head
parole	895	Sostantivo	parole
centro	894	Sostantivo	centre, middle
comunque	893	Avverbio	anyway, though, in any case
molti	891	Aggettivo	many
terra	889	Sostantivo	earth, ground, territory
volte	888	Sostantivo	times
nome	884	Sostantivo	name
andare	883	Verbo	to go
capo	882	Sostantivo	boss, head
ecco	879	Avverbio	here, there
guerra	875	Sostantivo	war
scorso	867	Aggettivo	last
ha fatto	865	Verbo	it / he / she has made
cioè	861	Congiunzione	namely, i.e.
sa	860	Verbo	it / he / she knows
ultimo	855	Aggettivo	last, latest, final,
fu	853	Verbo	it / he / she was (remote)
fanno	853	Verbo	they made
consiglio	852	Sostantivo	advice
vuole	840	Verbo	it / he / she wants
dare	839	Verbo	to say
pochi	830	Aggettivo	a little bit, very little
senso	827	Sostantivo	sense, feeling
dagli	824	Preposizione	of the (m.p)
figlio	823	Sostantivo	son
bisogno	810	Sostantivo	need
visto	808	Verbo in Tempo composto di un verbo	seen
morte	799	Sostantivo	death
tempi	799	Sostantivo	times
situazione	797	Sostantivo	situation
avevano	791	Verbo ausiliare in Tempo composto di un verbo	they had
tu	790	Pronome	you
piano	789	Sostantivo	floor, plan, plane, level
appena	786	Avverbio	just, barely
difficile	785	Aggettivo	difficult
campo	783	Sostantivo	field, camp
piccolo	780	Aggettivo	little, small
prima di	779	Preposizione	before, until, previous
quelle	778	Pronome	this (f.p)
squadra	766	Sostantivo	team
bambini	765	Sostantivo	children, babies
parlare	764	Verbo	to speak
aria	763	Sostantivo	air
davvero	760	Avverbio	truly, indeed, really
idea	758	Sostantivo	idea, plan
voce	757	Sostantivo	voice
figli	755	Sostantivo	children, kids, sons and daughters
allo	752	Preposizione	to the (m.s)
c'era	752	Verbo	there was
dieci	752	Numerale	ten
dato	747	Verbo in Tempo composto di un verbo	given
quali	744	Pronome in Pronome	which (m.p)
niente	744	Pronome	nothing, anything
gran	743	Aggettivo	grand
fino a	739	Preposizione	until, up to, as far as
corpo	739	Sostantivo	body
tipo	738	Sostantivo	type, kind, sort
quest'	737	Aggettivo	this
bisogna	726	Verbo	need, matter, business
sei	726	Numerale	six
oltre	719	Preposizione	beyond, over
conto	719	Sostantivo	count, calculation
minuti	718	Sostantivo	minutes
spiega	716	Verbo	it / he / she shows, explain
ultimi	714	Aggettivo	last, latest
serie	708	Sostantivo	series / serial
mese	708	Sostantivo	month
circa	707	Avverbio	around, about, approximately
importante	707	Aggettivo	important
marito	706	Sostantivo	husband
gioco	706	Sostantivo	game, play, fun
politica	706	Sostantivo	politics, policy
ultima	700	Aggettivo	last, latest
crisi	694	Sostantivo	crises
polizia	693	Sostantivo	police
e' stata	688	Verbo	<TEXT>
direttore	685	Sostantivo	dircetor
attraverso	685	Preposizione	across, through
successo	678	Sostantivo	success
amici	676	Sostantivo	freinds
scuola	676	Sostantivo	school
quei	676	Aggettivo	this (before a consonant followed by a vowel and before fptcvbdg)
quell'	675	Aggettivo	this
settimana	674	Sostantivo	week
mercato	671	Sostantivo	market
che cosa	669	Pronome	what
oppure	665	Congiunzione	or rather, or else
insomma	665	Avverbio	in sum, in short
dovrebbe	661	Verbo	it / he / she should
forte	659	Aggettivo	strong, intensive, hard, loud
alcune	659	Aggettivo	some, any
so	657	Verbo	I know
lì	655	Avverbio	there
attività	653	Sostantivo	activity
giovane	652	Aggettivo	young
programma	649	Sostantivo	programme
sindaco	648	Sostantivo	mayor
parla	644	Verbo	it / he / she speaks
partito	644	Sostantivo	party, match
nuove	643	Aggettivo	new
insieme	641	Avverbio	together
seconda	639	Aggettivo	second
libro	637	Sostantivo	book
dovuto	637	Verbo in Tempo composto di un verbo	had to
paura	636	Sostantivo	fear
fosse	635	Verbo	it / he / she might be, were to be
persona	633	Sostantivo	person
primi	633	Aggettivo	first
bella	632	Aggettivo	beautiful, lovely
trovare	632	Verbo	to find
rapporto	631	Sostantivo	report
stava	631	Verbo	it / he / she stood
cuore	630	Sostantivo	heart
basta	629	Verbo	enough
per esempio	629	Avverbio	for example
mattina	628	Sostantivo	morning
poteva	628	Verbo	it / he / she could, was able to
paesi	625	Sostantivo	countries, villages
propria	618	Aggettivo	just, exact
miei	618	Aggettivo	my (m.p)
passato	617	Sostantivo	past
periodo	611	Sostantivo	period, span
buona	609	Aggettivo	good
cinema	609	Sostantivo	cinema
tratta	606	Verbo	it / he / she trades, handles, deals with
nuovi	604	Aggettivo	new
auto *	604	Sostantivo	car
metri	602	Sostantivo	metres
mani	600	Sostantivo	hands
ragazzi	599	Sostantivo	boys and girls, guys
ordine	599	Sostantivo	order
rispetto	599	Sostantivo in Preposizione	respect, compared
capire	598	Verbo	to understand
forza	597	Sostantivo	force, strength
italiana	597	Aggettivo	italian
messo	595	Verbo in Tempo composto di un verbo	put, placed
ruolo	595	Sostantivo	part, role
mare	585	Sostantivo	sea
te	585	Pronome	you, to you
luce	585	Sostantivo	light
possibilità	584	Sostantivo	possibility
potuto	583	Verbo in Tempo composto di un verbo	been able to
vi	581	Pronome	you all
nello	580	Preposizione	in the
deciso	579	Verbo in Tempo composto di un verbo	decided
pubblico	579	Sostantivo	public
sapere	578	Verbo	to know
servizio	577	Sostantivo	service
genitori	576	Sostantivo	parents
mettere	574	Verbo	to put, to place
amico	574	Sostantivo	friend
zona	573	Sostantivo	zone, region, area
intanto	569	Avverbio	meanwhile
credo	568	Verbo	I believe
unico	567	Aggettivo	only, sole, single
s'	566	Pronome	one, oneself
pensare	564	Verbo	to think
ragazza	563	Sostantivo	girl
potere	562	Sostantivo	can, to be able to
pure	561	Avverbio	too, also, as well
vivere	560	Verbo	to live
camera	559	Sostantivo	room, chamber
fuoco	559	Sostantivo	fire
tanti	559	Aggettivo	lots
fronte	558	Sostantivo in Preposizione	front, façade
grazie	558	Interiezione in Preposizione	thank you
segretario	557	Sostantivo	secretary
molte	556	Aggettivo	much, many, very
facile	556	Aggettivo	easy
parola	553	Sostantivo	word
fuori	553	Avverbio	outside
arte	552	Sostantivo	art
nostri	550	Aggettivo	our (m.p)
porta	549	Sostantivo	door, gate, gateway
generale	547	Aggettivo	generak
via	547	Avverbio	road, way, street
scelta	544	Sostantivo	choice, option
età	542	Sostantivo	age, era
piedi	539	Sostantivo	feet
infine	538	Avverbio	lastly, finally
futuro	537	Sostantivo	future
nemmeno	537	Avverbio	neither, nor, not even
resta	537	Verbo	it / he / she stays, remains
maggioranza	533	Sostantivo	majority
mezzo	533	Aggettivo	half, middle
signora	533	Sostantivo	woman, mrs.
partiti	529	Sostantivo	parties
devono	529	Verbo	they must
trovato	527	Verbo in Tempo composto di un verbo	found
metà	526	Sostantivo	half, middle
tuttavia	525	Congiunzione	however, nevertheless
spazio	525	Sostantivo	space
musica	525	Sostantivo	music
anzi	524	Congiunzione	rather, on the contrary, quite the opposite
addirittura	522	Avverbio	"even, ""no, really"""
voglio	522	Verbo	I want
italiano	521	Aggettivo	italian
natura	520	Sostantivo	nature
presto	520	Avverbio	early, soon
sinistra	520	Sostantivo	left
estate	520	Sostantivo	summer
verità	519	Sostantivo	truth
forma	519	Sostantivo	shape form
risposta	517	Sostantivo	repsonse, answer
macchina	516	Sostantivo	machine, car
condizioni	516	Sostantivo	conditions
stanno	515	Verbo	they stand
sola	514	Aggettivo	alone, lone
bambino	514	Sostantivo	baby
soldi	513	Sostantivo	money, coins
prendere	513	Verbo	to take
doveva	513	Verbo	it / he / she had to
pomeriggio	513	Sostantivo	afternoon
possa	513	Verbo	I / you / it / he / she might be able to
chiesto	510	Verbo in Tempo composto di un verbo	asked
ero	509	Verbo	I was
stagione	509	Sostantivo	season
cultura	508	Sostantivo	culture
buon	507	Aggettivo	good
luogo	507	Sostantivo	place
ragione	505	Sostantivo	reason
politico	501	Aggettivo	plolitical
ragazzo	500	Sostantivo	boy
scena	500	Sostantivo	stage, scene
casi	499	Sostantivo	cases
vecchio	499	Aggettivo	old
preso	499	Verbo in Tempo composto di un verbo	taken
unica	498	Aggettivo	only, sole 
vengono	496	Verbo ausiliare in Tempo composto di un verbo	they go
ricerca	494	Sostantivo	research
posso	491	Verbo	I can
incontro	491	Sostantivo	encounter, meeting, reunion
inoltre	489	Avverbio	besided, moreover, further, furthermore, in addition
domenica	489	Sostantivo	Sunday
figlia	489	Sostantivo	daughter
trova	487	Verbo	it / he / she finds
linea	487	Sostantivo	line
lungo	486	Aggettivo	long
immagine	485	Sostantivo	image, picture, illustration
attenzione	484	Sostantivo	attention
egli	484	Pronome	he
sette	484	Numerale	seven
diversi	481	Aggettivo	different, various
avanti	481	Avverbio	forward(s), ahead
diverse	479	Aggettivo	different, various
giornata	479	Sostantivo	day
giovani	478	Sostantivo	young
arriva	477	Verbo	it / he / she arrives, gets to
come se	477	Congiunzione	as if
tale	477	Aggettivo	such
punti	476	Sostantivo	points, toes
voleva	476	Verbo	it / he / she wanted
realtà	475	Sostantivo	reality
vera	474	Aggettivo	true, real
specie	473	Sostantivo	species, strain, kind, sort
sangue	473	Sostantivo	blood
ufficio	473	Sostantivo	office
parlamento	471	Sostantivo	parliament
pare	470	Verbo	it / he / she appears, seems, looks
nazionale	470	Aggettivo	national
colpo	469	Sostantivo	blow, hit, strike
racconta	469	Verbo	it / he / she tells
sole	469	Sostantivo	sun
esperienza	468	Sostantivo	experience
piccola	467	Aggettivo	small, little
titolo	467	Sostantivo	title
continua	466	Verbo	it / he / she continue, carry on
nonostante	466	Preposizione	despite, in spite of, notwithstanding
naturalmente	465	Avverbio	"naturally, ""of course!"""
questione	463	Sostantivo	matter, issue;
sicurezza	463	Sostantivo	safety, security
sociale	463	Aggettivo	social
potrà	462	Verbo	it / he / she will be able to
state	461	Verbo ausiliare in Tempo composto di un verbo	been (f.p) 
letto	460	Sostantivo	bed
difficoltà	460	Sostantivo	diffiulty
dicono	459	Verbo	they say
processo	458	Sostantivo	process
finalmente	458	Avverbio	"finally, ""at last!"""
studio	458	Sostantivo	study
carabinieri	456	Sostantivo	State Police
progetto	456	Sostantivo	project, plan
semplice	456	Aggettivo	simple, straightforward
risultato	453	Sostantivo	result, score
tante	452	Aggettivo	many, a lot
tv *	452	Sostantivo	television
capitale	451	Sostantivo	capital
piccoli	451	Aggettivo	little, small
prossimo	449	Aggettivo	next
risultati	449	Sostantivo	results
campagna	448	Sostantivo	countryside
fece	448	Verbo	it / he / she made (remote)
internazionale	448	Aggettivo	international
sé	447	Pronome	oneself
voi	447	Pronome	you all
di più	446	Avverbio	more, once more
fondo	446	Sostantivo	end, bottom, back
rischio	445	Sostantivo	risk, hazard
rapporti	445	Sostantivo	reports
evitare	444	Verbo	avoid
diritto	444	Sostantivo	right, eligibility
faceva	444	Verbo	it / he / she made
grado	443	Sostantivo in Aggettivo	degree
teatro	442	Sostantivo	theatre
in grado	442	Aggettivo	able
posizione	442	Sostantivo	position
abbia	442	Verbo ausiliare in Tempo composto di un verbo	I / you / it / he / she might have
comune	442	Sostantivo	common, council
dietro	441	Preposizione	behind
francese	441	Aggettivo	french
voluto	441	Verbo in Tempo composto di un verbo	wanted
intorno	440	Avverbio in Preposizione	around, round
lunga	440	Aggettivo	long
spettacolo	439	Sostantivo	play, show
maggiore	439	Aggettivo	greater, bigger
stessi	438	Aggettivo	same
giugno	438	Sostantivo	June
intervento	437	Sostantivo	intervention
eppure	436	Congiunzione	(and) yet, still, but
avevo	436	Verbo ausiliare in Tempo composto di un verbo	I had
presenza	435	Sostantivo	presence
controllo	434	Sostantivo	control, command, check
ipotesi	434	Sostantivo	guess
settembre	434	Sostantivo	September
chiesa	434	Sostantivo	church
calcio	434	Sostantivo	football
inizio	433	Sostantivo	beginning, start
diventare	432	Verbo	to become
pubblica	432	Aggettivo	public
neppure	431	Avverbio	neither, nor, not even
arrivare	430	Verbo	to get to, to arrive
forze	430	Sostantivo	forces
matrimonio	429	Sostantivo	marriage, wedding
sembrava	429	Verbo	it / he / she seemed
giro	429	Sostantivo	turn, spin, ride
vista	428	Sostantivo	view
qualsiasi	428	Aggettivo	whatever, whichever
agosto	428	Sostantivo	August
dovrà	427	Verbo	it / he / she will have to
ambiente	426	Sostantivo	environment, background
livello	425	Sostantivo	level
carta	425	Sostantivo	card
luglio	425	Sostantivo	july
mamma	424	Sostantivo	mummy
riguarda	424	Verbo	it / he / she concerns, applies to
ministero	423	Sostantivo	government, ministry
alta	423	Aggettivo	high, tall
opera	422	Sostantivo	work
tuo	422	Aggettivo	your (m.s)
occasione	421	Sostantivo	occasion
magari	420	Avverbio	maybe
poche	420	Aggettivo	few, not many (f.p)
stampa	420	Sostantivo	printing, print
accordo	419	Sostantivo	agreement, deal
nessun	419	Aggettivo	nobody, anybody
difesa	418	Sostantivo	defence
commissione	418	Sostantivo	commision, board, committee
qualità	414	Sostantivo	quality
tua	413	Aggettivo	your (f.s)
valore	412	Sostantivo	value
alto	412	Aggettivo	high, tall
prova	412	Sostantivo	proof
dà	412	Verbo	it / he / she gives
viaggio	411	Sostantivo	journey
diventa	411	Verbo	it / he / she becomes
azione	410	Sostantivo	action
regista	410	Sostantivo	director
ospedale	409	Sostantivo	hospital
persino	409	Avverbio	even
piuttosto	408	Avverbio	instead, rather, fairly
alla fine	407	Avverbio	at the end of
partita	407	Sostantivo	<TEXT>
decisione	406	Sostantivo	decision
atto	405	Sostantivo	act, deed
elezioni	405	Sostantivo	election
uso	404	Sostantivo	I use
moda	404	Sostantivo	fashion, trend
interesse	403	Sostantivo	interest
probabilmente	403	Avverbio	likely, probably
pace	401	Sostantivo	peace
di nuovo	401	Avverbio	again, anew, afresh
hai	398	Verbo ausiliare in Tempo composto di un verbo	you have
pelle	398	Sostantivo	skin
lasciato	397	Verbo in Tempo composto di un verbo	dropped, left, let go of
spalle	396	Sostantivo	shoulders
libertà	393	Sostantivo	liberty
nessuna	393	Aggettivo	nobody, anybody
secolo	393	Sostantivo	century
otto	392	Numerale	eight
elettorale	389	Aggettivo	<TEXT>
parlato	389	Verbo in Tempo composto di un verbo	spoken
ha avuto	388	Verbo	it / he / she has had
oro	388	Sostantivo	gold
genere	387	Sostantivo	gender, kind, type
entro	387	Preposizione	within, inside, by
portato	387	Verbo in Tempo composto di un verbo	brought
passo	387	Sostantivo	step, pace, passage
accanto	386	Avverbio in Preposizione	nearby, by, next
domani	385	Avverbio	tomorrow
voglia	385	Sostantivo	to might want (singular)
corsa	384	Sostantivo	run, running
perdere	384	Verbo	to lose
carcere	384	Sostantivo	jail
terzo	383	Aggettivo	third
repubblica	383	Sostantivo	republic
capelli	383	Sostantivo	hair
gennaio	383	Sostantivo	January
fortuna	382	Sostantivo	luck, fortune
mente	382	Sostantivo	mind
fino al	382	Preposizione	until the
lettera	381	Sostantivo	letter
esiste	381	Verbo	it / he / she exists
sabato	381	Sostantivo	Saturday
festa	381	Sostantivo	holiday, party
vede	381	Verbo	it / he / she sees
chilometri	379	Sostantivo	kilometres
giustizia	379	Sostantivo	justice, fairness
soluzione	378	Sostantivo	solution
violenza	378	Sostantivo	violence
operazione	378	Sostantivo	operation
sogno	377	Sostantivo	dream
re	377	Sostantivo	king
in realtà	376	Avverbio	actually, in reality
significa	376	Verbo	it / he / she means
giusto	372	Aggettivo	fair, right
passare	372	Verbo	to go past
dati	371	Sostantivo	dates
italiani	370	Sostantivo	<TEXT>
facendo	369	Verbo	making
il quale	369	Pronome	who, that (relative pronoun)
gara	368	Sostantivo	<TEXT>
segno	368	Sostantivo	mark, sign
settore	367	Sostantivo	sector, seats, field
giudice	366	Sostantivo	judge
voto	366	Sostantivo	<TEXT>
male	366	Sostantivo	evil, ill
prime	364	Aggettivo	before, back, previous
resto	363	Sostantivo	rest, remainder
entrare	363	Verbo	to enter
guida	362	Sostantivo	direction, guidance
parti	362	Sostantivo	parts
chiaro	362	Aggettivo	clear
bel	361	Aggettivo	lovely
destra	360	Sostantivo	right
pieno	360	Aggettivo	full
lavorare	359	Verbo	to work
impegno	359	Sostantivo	commitment
piace	358	Verbo	it / he / she pleases, is pleasing
servizi	358	Sostantivo	services
settimane	358	Sostantivo	weeks
corso	358	Sostantivo	course, class
paio	358	Sostantivo	pair, couple
mie	357	Aggettivo	my (m.p)
libri	357	Sostantivo	books
portare	356	Verbo	to bring
comunità	356	Sostantivo	community
chiede	356	Verbo	it / he / she asks
base	355	Sostantivo in Preposizione	foundation, base
maggio	355	Sostantivo	May
coppia	354	Sostantivo	couple
vicenda	354	Sostantivo	affair, event
tornare	354	Verbo	to return, to go back
ritorno	353	Sostantivo	return, comeback
inchiesta	353	Sostantivo	inquiry, case
ricorda	352	Verbo	it / he / she remembers
speranza	351	Sostantivo	hope, prospect
diverso	350	Aggettivo	different, various
siano	350	Verbo	they might be
palazzo	350	Sostantivo	palace, apartment block
cominciato	349	Verbo in Tempo composto di un verbo	started
migliore	349	Aggettivo	better
silenzio	348	Sostantivo	silence
ottobre	348	Sostantivo	October
abbastanza	348	Avverbio	quite, enough
poiché	348	Congiunzione	as, since, forasmuch as 
stanza	348	Sostantivo	room
aprile	348	Sostantivo	April
sugli	348	Preposizione	on the (m.p)
riesce	347	Verbo	it / he / she manages, succeeds
pronto	347	Aggettivo	ready, prompt
vittoria	347	Sostantivo	victory
breve	347	Aggettivo	brief, short
fiducia	346	Sostantivo	confidence, trust, belief, faith
giornali	346	Sostantivo	newspaper
mille	345	Numerale	one thousand
capacità	345	Sostantivo	capacity
neanche	344	Avverbio	not even
fratello	342	Sostantivo	brother
essa	341	Pronome	she, it (f.s)
dallo	341	Preposizione	from the (m.s)
protagonista	340	Sostantivo	protagonist
domanda	340	Sostantivo	question, application
responsabilità	339	Sostantivo	responsibility
certi	339	Aggettivo	certain
carriera	339	Sostantivo	career
vecchia	338	Aggettivo	old
amministrazione	338	Sostantivo	administration
case	338	Sostantivo	houses, buildings
prezzo	338	Sostantivo	price
